id,mean_cc_gain,cross_raw,cross_denoised,cross_gain,zone,model
83,1.6088020630130608,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
67,1.2787004357795646,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
131,1.6885320388028902,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
13,1.6973735182856153,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
36,1.3267302528257898,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
17,1.6098697492209684,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
139,1.6688183508218628,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
112,1.5443970273906977,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
108,1.7052198446093918,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
0,1.294038888836345,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
39,1.917014969442146,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
62,1.6934981323068772,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
16,1.2139149590557154,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
88,1.365212195938467,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
127,1.3750554827532437,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
52,1.7230130323072548,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
34,1.6074440495173996,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
126,1.5975095459799051,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
168,1.438430110903288,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
38,1.4349232747328933,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
25,1.8790885477751194,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
30,2.135021452267248,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
66,1.3917079776044816,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
6,1.6984261772486497,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
59,1.1045198800609157,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
